data.id	seg.size	status	RMS
c0_xy	5	-1	-2
c0_xy	155	0	0.256573
c0_xy	416	1	-1
c0_xy	128	1	-1
c0_xy	452	1	-1
c0_xy	589	0	0.324543
c0_xy	139	1	-1
c0_xy	481	0	0.235036
c0_xy	28	1	-1
c0_xy	394	0	0.196645
c0_xy	110	1	-1
c0_xy	274	0	0.265913
c0_xy	429	0	0.204011
c0_xy	498	0	0.283021
c0_xy	463	0	0.174307
c0_xy	375	0	0.202685
c0_xy	1508	0	0.311395
c0_xy	92	1	-1
c0_xy	735	0	0.621709
c0_xy	274	1	-1
c0_xy	440	0	0.196024
c0_xy	588	0	0.207609
c0_xy	409	0	0.184569
c0_xy	1292	0	0.493015
c0_xy	176	0	0.243871
c0_xy	67	1	-1
c0_xy	562	0	0.201273
c0_xy	513	0	0.249773
c0_xy	635	1	-1
c0_xy	265	3	-1
c0_xy	530	1	-1
c0_xy	520	0	0.256939
c0_xy	427	0	0.219407
c0_xy	80	1	-1
c0_xy	152	1	-1
c0_xy	157	1	-1
c0_xy	452	0	0.210961
c0_xy	100	1	-1
c0_xy	243	0	0.188736
c0_xy	175	1	-1
c0_xy	73	1	-1
c0_xy	541	0	0.31181
c0_xy	382	0	0.203655
c0_xy	172	1	-1
c0_xy	310	0	0.274288
c0_xy	856	0	0.218413
c0_xy	614	0	0.275894
c0_xy	540	0	0.202481
c0_xy	851	0	0.254094
c0_xy	905	1	-1
c0_xy	376	0	0.686031
c0_xy	332	0	0.190944
c0_xy	427	0	0.221613
c0_xy	381	0	0.194599
c0_xy	148	1	-1
c0_xy	211	0	0.223702
c0_xy	98	1	-1
c0_xy	509	0	0.274931
c0_xy	89	1	-1
c0_xy	118	0	0.257469
c0_xy	278	0	0.211458
c0_xy	477	2	-1
c0_xy	190	0	0.246508
c0_xy	1232	0	0.589484
c0_xy	53	1	-1
c0_xy	458	0	0.204786
c0_xy	120	0	0.223702
c0_xy	36	1	-1
c0_xy	208	1	-1
c0_xy	382	0	0.281062
c0_xy	127	1	-1
c0_xy	28	1	-1
c0_xy	130	1	-1
c0_xy	537	1	-1
c0_xy	1071	0	0.241812
c0_xy	466	0	0.23616
c0_xy	879	0	0.331235
c0_xy	2	1	-1
c0_xy	160	0	0.19789
c0_xy	944	0	0.199435
c0_xy	173	0	0.221653
c0_xy	31	1	-1
c0_xy	276	1	-1
c0_xy	198	0	0.207936
c0_xy	250	0	0.218353
c0_xy	532	2	-1
c0_xy	384	0	0.208987
c0_xy	196	1	-1
c0_xy	21	1	-1
c0_xy	229	0	0.343237
c0_xy	133	0	0.348615
c0_xy	285	0	0.242499
c0_xy	415	0	0.260341
c0_xy	160	1	-1
c0_xy	624	1	-1
c0_xy	473	0	0.248044
c0_xy	159	0	0.229085
c0_xy	595	1	-1
c0_xy	81	1	-1
c0_xy	189	0	0.236442
c0_xy	419	1	-1
c0_xy	198	0	0.230587
c0_xy	30	1	-1
c0_xy	619	0	0.400047
c0_xy	182	0	0.170637
c0_xy	27	1	-1
c0_xy	135	1	-1
c0_xy	631	1	-1
c0_xy	3	1	-1
c0_xy	309	0	0.266259
c0_xy	231	0	0.236837
c0_xy	183	0	0.170476
c0_xy	835	0	0.332823
c0_xy	140	0	0.272834
c0_xy	713	0	0.235667
c0_xy	129	0	0.201273
c0_xy	151	0	0.19789
c0_xy	353	0	0.220975
c0_xy	199	1	-1
