data.id	seg.size	status	RMS
c0_xy	0	-1	-2
c0_xy	422	1	-1
c0_xy	362	1	-1
c0_xy	300	1	-1
c0_xy	235	0	0.230923
c0_xy	450	1	-1
c0_xy	440	0	0.228749
c0_xy	318	1	-1
c0_xy	383	1	-1
c0_xy	325	1	-1
c0_xy	507	0	0.313136
c0_xy	280	1	-1
c0_xy	182	1	-1
c0_xy	361	0	0.211496
c0_xy	633	1	-1
c0_xy	300	1	-1
c0_xy	350	1	-1
c0_xy	400	1	-1
c0_xy	346	1	-1
c0_xy	315	1	-1
c0_xy	344	1	-1
c0_xy	439	0	0.224737
c0_xy	340	1	-1
c0_xy	265	0	0.20873
c0_xy	334	1	-1
c0_xy	478	1	-1
c0_xy	321	1	-1
c0_xy	340	1	-1
c0_xy	302	1	-1
c0_xy	347	1	-1
c0_xy	317	1	-1
c0_xy	358	0	0.211246
c0_xy	323	1	-1
c0_xy	12	1	-1
c0_xy	348	1	-1
c0_xy	247	0	0.160878
c0_xy	378	1	-1
c0_xy	318	1	-1
c0_xy	317	1	-1
c0_xy	356	1	-1
c0_xy	287	0	0.295665
c0_xy	282	1	-1
c0_xy	282	1	-1
c0_xy	319	1	-1
c0_xy	287	1	-1
c0_xy	312	1	-1
c0_xy	58	1	-1
c0_xy	358	1	-1
c0_xy	347	1	-1
c0_xy	73	1	-1
c0_xy	256	1	-1
c0_xy	260	0	0.169302
c0_xy	384	1	-1
c0_xy	425	1	-1
c0_xy	237	1	-1
c0_xy	375	1	-1
c0_xy	279	0	0.175944
c0_xy	285	1	-1
c0_xy	319	0	0.219146
c0_xy	348	1	-1
c0_xy	373	1	-1
c0_xy	238	1	-1
c0_xy	296	1	-1
c0_xy	318	0	0.246508
c0_xy	441	1	-1
c0_xy	266	0	0.200264
c0_xy	427	1	-1
c0_xy	208	1	-1
c0_xy	287	1	-1
c0_xy	315	1	-1
c0_xy	151	0	0.229486
c0_xy	261	0	0.169658
c0_xy	460	0	0.208618
c0_xy	263	1	-1
c0_xy	305	1	-1
c0_xy	348	1	-1
c0_xy	341	1	-1
c0_xy	343	1	-1
c0_xy	251	1	-1
c0_xy	224	1	-1
c0_xy	323	0	0.208987
c0_xy	297	1	-1
c0_xy	25	1	-1
c0_xy	330	1	-1
c0_xy	355	1	-1
c0_xy	163	0	0.246508
c0_xy	243	1	-1
c0_xy	278	1	-1
c0_xy	201	1	-1
c0_xy	302	0	0.268626
c0_xy	224	1	-1
c0_xy	218	0	0.244079
c0_xy	306	1	-1
c0_xy	298	1	-1
c0_xy	280	1	-1
c0_xy	201	1	-1
c0_xy	246	1	-1
c0_xy	261	0	0.207467
c0_xy	334	0	0.196176
c0_xy	271	1	-1
c0_xy	208	1	-1
c0_xy	213	1	-1
