frame	time	trajectory.id	traj.len	cent.x	cent.y	cent.z	volume	surface.area	AB.length	anisotropy	vol.above.nuc	sa.above.nuc	apical.x	apical.y	apical.z	basal.x	basal.y	basal.z	cell.idx	max.cell.bend	nuc.apical.dist
1	0	0	40	113.042	23.0119	15.7881	833.125	517.261	23.5597	1.07369	487.75	275.608	113.279	22.3296	4.59039	112.781	23.762	28.1013	164	0.608432	11.3178
2	50	0	40	112.944	22.9194	15.9193	837.625	514.949	23.8848	1.08638	511.5	290.732	113.266	22.2327	4.56429	112.59	23.6739	28.396	179	0.738227	12.4739
3	100	0	40	112.843	22.9385	16.7766	869.125	535.617	24.3812	1.03158	514.875	292.879	113.293	22.4223	4.59341	112.394	23.4538	28.9362	174	0.860642	12.6121
4	150	0	40	112.24	22.6429	17.3549	881	552.345	26.1216	1.01576	498.875	287.204	112.405	22.3704	4.63511	112.066	22.9299	30.7485	188	0.934925	12.3471
5	200	0	40	111.707	22.8379	16.9417	913.25	580.4	26.8145	1.06322	511.625	302.458	111.895	22.2531	4.57489	111.488	23.5195	31.3564	181	1.30627	12.3278
6	250	0	40	111.467	22.18	17.7087	943.375	592.699	27.7031	1.16151	507.875	305.812	111.683	22.0748	4.65545	111.225	22.2981	32.3539	190	1.2408	13.282
7	300	0	40	111.297	22.6409	18.5737	982.5	616.057	28.8392	1.41881	578	342.437	111.843	22.2221	4.61148	110.716	23.0861	33.4157	179	1.12349	15.0548
8	350	0	40	110.869	22.4833	18.7337	1046.5	664.214	29.822	1.25114	588.875	362.865	111.425	21.2616	4.66563	110.252	23.8397	34.3528	156	0.762216	14.966
9	400	0	40	110.574	22.5045	19.6071	1012.75	645.589	31.1625	1.05592	564.625	341.103	111.113	21.282	4.53053	110.003	23.7989	35.5713	198	0.946812	15.5823
10	450	0	40	110.721	22.3648	19.9777	1034.88	653.491	31.9919	1.12214	546.375	316.623	111.589	21.113	4.59497	109.792	23.7037	36.4312	199	1.00314	14.1333
11	500	0	40	110.197	22.4778	20.9732	1011.62	644.685	33.2169	1.01728	542	316.893	110.441	21.6126	4.60641	109.945	23.366	37.7733	207	1.21493	15.0065
12	550	0	40	109.985	22.242	21.3076	1093.38	700.542	34.9394	1.10407	534.5	317.516	111.093	21.2182	4.59953	108.785	23.3505	39.3973	206	1.33728	14.3458
13	600	0	40	109.792	22.6828	21.9143	1115.38	715.853	35.942	1.06139	562.875	331.28	110.52	21.8199	4.58303	109.013	23.6057	40.449	169	1.30547	14.942
14	650	0	40	109.683	22.6347	22.3646	1123.88	733.602	36.6197	1.00072	542.125	315.731	110.656	22.1555	4.59897	108.655	23.1415	41.1506	199	1.13021	14.5181
15	700	0	40	109.644	22.6819	23.0479	1186.88	762.167	37.8951	1.07277	578.625	341.977	110.609	22.1915	4.62605	108.627	23.1986	42.4559	151	1.16176	15.5684
16	750	0	40	109.967	22.5502	23.8116	1218.12	793.252	39.4966	1.03118	573.75	337.633	110.722	22.298	4.67872	109.166	22.8181	44.1412	168	1.088	15.6245
17	800	0	40	110.195	22.3678	23.8091	1234.25	796.47	39.5748	1.0366	598.75	356.523	110.754	22.083	4.7771	109.592	22.6749	44.3304	165	1.43321	16.6352
18	850	0	40	110.128	22.2975	25.4663	1156.38	767.488	40.6565	1.00964	544.5	321.57	110.891	21.8022	4.95661	109.38	22.783	45.5732	205	2.60145	16.8852
19	900	0	40	110.314	22.4159	25.3594	1240.12	841.709	42.028	1.35613	637.125	392.885	112.132	21.9243	4.45525	108.492	22.9086	46.3138	204	2.1317	18.6622
20	950	0	40	110.094	22.3259	25.2637	1360.88	936.426	42.8192	1.41406	710.875	477.311	111.198	21.5227	4.51118	108.925	23.1764	47.2381	135	2.27805	20.0407
21	1000	0	40	109.096	22.429	27.2423	1157	774.939	40.8054	0.991383	552.5	338.393	109.645	22.654	6.90665	108.543	22.2026	47.6947	221	1.81808	18.267
22	1050	0	40	107.257	22.2346	28.5482	1139.75	772.29	39.955	1.06735	517.625	340.224	107.596	22.3238	8.48455	106.922	22.1461	48.4335	216	5.7789	17.8447
23	1100	0	40	105.538	21.8972	30.4945	1154.5	763.186	39.2476	1.30798	549.125	345.085	106.313	22.2832	9.83996	104.843	21.5505	49.0531	221	2.37596	18.6358
24	1150	0	40	104.017	21.8032	31.5943	1168.88	778.093	40.2639	0.993451	533.875	344.645	104	22.3969	11.1527	104.033	21.228	51.3996	214	3.58291	18.9279
25	1200	0	40	101.907	21.3544	33.9981	1158.25	771.814	40.4846	1.0458	508.75	332.359	101.848	21.6237	12.27	101.958	21.1219	52.7513	188	3.71815	18.6516
26	1250	0	40	100.165	20.8863	33.0094	1085.5	704.357	36.3645	1.03904	601.25	380.179	100.299	22.3036	13.3085	100.051	19.6944	49.5784	202	11.7631	21.3608
27	1300	0	40	98.7851	20.2427	38.5326	1297.62	833.446	40.4844	1.20245	589.25	381.739	97.5836	21.251	15.5958	99.6993	19.4755	55.9859	128	6.52178	21.3131
28	1350	0	40	96.9532	19.515	40.2861	1222.62	797.504	36.0857	1.16058	598.75	371.472	96.4231	21.0782	21.3658	97.4302	18.1081	57.3149	147	5.12301	17.8645
29	1400	0	40	95.9329	19.1644	42.4071	1188.38	730.115	34.1448	1.44543	572.625	348.018	95.2142	21.0355	23.3864	96.4972	17.6952	57.3432	145	11.7309	18.498
30	1450	0	40	92.9156	18.2289	47.3538	1399.62	873.081	40.4653	1.54252	640	379.242	94.9763	19.5764	25.7545	91.1405	17.0682	65.9595	78	12.1202	19.7789
31	1500	0	40	90.731	17.346	50.398	1396.38	843.098	38.6478	1.37333	603	360.916	92.4594	18.8959	29.2294	89.3226	16.0831	67.6469	75	8.75918	18.9873
32	1550	0	40	87.285	15.4616	56.7933	1854.88	1114.43	42.5778	1.27542	635.5	374.585	89.6147	19.4966	32.87	85.5449	12.4477	74.6626	4	9.33189	18.7949
