trajectory.id	rank.contact.1	rank.contact.2	rank.contact.3	rank.contact.4	rank.contact.5	rank.contact.6	rank.contact.7	rank.contact.8	rank.contact.9	rank.contact.10	rank.contact.11	rank.contact.12	traj.len
0	40	40	40	40	40	40	5	4	3	3	3	2	40
1	37	37	35	35	33	9	8	6	5	2	1	1	37
2	38	32	29	28	23	21	18	13	8	7	6	5	38
3	40	40	39	38	36	32	11	7	4	3	3	3	40
4	31	31	30	30	22	10	6	4	4	4	2	2	31
5	35	35	35	35	33	32	31	1	1	1	1	1	35
6	32	32	32	32	30	22	5	4	3	3	2	2	32
7	40	40	40	37	35	32	11	7	5	3	3	2	40
8	38	37	34	32	32	23	12	11	10	9	7	6	38
9	39	38	36	36	32	27	23	10	10	10	7	6	39
10	29	29	27	23	23	7	4	4	3	3	2	1	29
11	40	40	40	40	39	37	13	9	7	5	4	4	40
12	40	40	40	40	39	32	28	5	3	3	2	2	40
13	35	35	34	33	32	32	4	2	1	1	1	1	35
14	35	33	32	32	28	25	12	8	5	4	3	3	35
15	38	38	38	35	35	34	9	5	5	4	4	3	38
16	39	38	37	37	33	32	10	7	6	6	6	6	40
17	40	40	40	40	38	36	34	12	8	7	7	5	40
18	38	32	23	22	19	18	12	12	8	8	7	6	40
19	23	23	23	23	23	23	8	2	1	1	1	1	23
20	38	37	36	35	32	31	12	7	7	5	4	4	40
21	39	38	38	35	35	31	17	7	5	4	3	3	39
22	40	39	37	35	34	25	12	11	6	6	6	6	40
23	36	36	36	36	35	30	27	7	7	3	3	3	36
24	38	37	36	36	34	33	7	6	6	6	5	4	40
25	34	34	34	34	30	24	8	4	3	2	2	2	34
26	40	40	36	36	35	23	12	9	4	4	3	3	40
27	38	36	36	35	26	22	11	8	7	6	5	5	40
28	40	40	39	37	37	21	18	15	7	4	2	2	40
29	31	31	31	30	29	26	2	1	1	1	1	NA	31
30	36	36	33	31	31	29	10	5	4	4	4	4	37
31	32	32	32	31	30	29	5	2	1	1	1	1	32
32	40	40	39	36	35	34	34	9	7	5	4	4	40
33	37	37	36	35	33	32	5	4	4	3	3	3	37
34	40	40	39	37	35	17	13	12	10	8	7	6	40
35	40	40	37	36	35	32	7	4	4	2	2	2	40
36	40	40	40	40	40	40	5	5	4	2	2	2	40
37	40	40	38	37	35	33	12	8	8	7	4	4	40
38	40	40	40	40	40	38	5	5	4	2	2	2	40
39	40	40	38	37	32	31	31	10	8	8	7	5	40
40	40	40	40	40	39	38	10	9	7	6	5	5	40
41	40	40	40	40	40	40	3	2	2	2	2	2	40
42	40	40	40	39	38	37	29	6	4	4	4	3	40
43	34	34	34	34	30	29	7	6	4	4	3	2	34
44	25	25	24	24	24	23	6	4	3	3	3	2	25
45	40	40	38	37	36	33	15	5	4	4	3	3	40
46	27	27	27	21	21	8	1	NA	NA	NA	NA	NA	27
47	40	40	40	40	39	30	15	9	5	5	3	3	40
48	36	36	35	35	32	30	30	6	4	2	2	2	36
49	40	37	37	34	27	21	12	12	6	5	3	2	40
50	38	38	36	35	35	33	14	7	5	4	4	3	38
51	29	29	29	26	19	16	7	5	2	2	1	1	29
52	29	29	29	26	25	8	2	1	1	1	1	NA	29
53	31	31	31	29	28	14	8	1	1	1	NA	NA	31
54	34	34	34	31	30	27	25	2	2	1	1	1	34
55	31	30	29	28	22	11	7	6	6	5	5	4	36
56	32	32	31	28	13	7	7	4	4	4	2	2	32
57	33	33	33	31	30	29	28	4	2	2	2	2	33
58	35	35	35	35	31	30	5	4	4	3	3	2	35
59	35	35	35	34	31	30	27	4	4	3	3	1	35
60	29	29	29	29	28	20	11	3	2	2	2	2	29
61	35	35	34	33	30	12	9	3	3	2	2	1	35
62	34	34	32	31	31	31	13	10	3	3	2	1	34
63	33	33	33	32	31	30	7	5	3	2	2	1	33
64	37	37	34	33	29	28	9	8	7	6	5	4	37
65	36	36	36	35	32	30	16	13	12	9	9	7	40
66	37	36	36	34	34	33	9	8	5	3	3	2	38
67	32	32	32	32	26	13	8	7	6	5	2	2	32
68	40	40	40	38	35	35	8	6	5	5	5	4	40
69	38	38	37	35	34	34	6	5	2	1	1	NA	38
70	40	40	39	37	35	34	5	5	4	4	3	3	40
71	36	36	32	32	32	11	9	7	7	5	5	4	36
72	40	40	40	40	37	34	18	6	6	5	4	4	40
73	40	40	40	40	40	21	10	10	7	6	6	5	40
74	37	37	37	34	34	25	23	12	11	7	5	4	37
75	40	40	40	39	39	35	12	9	7	6	6	5	40
76	40	40	40	40	39	9	7	6	5	4	4	2	40
77	40	40	40	40	40	13	10	9	5	4	4	2	40
78	33	33	33	33	33	33	4	2	2	2	2	2	33
79	40	40	40	40	40	37	7	5	3	2	2	2	40
80	37	37	37	33	32	32	15	12	9	6	5	5	40
81	40	40	40	40	37	32	15	7	4	2	2	2	40
82	23	23	23	23	2	2	1	1	1	1	1	1	23
83	40	40	40	40	39	32	10	7	5	5	5	4	40
84	27	27	27	26	23	5	5	4	2	1	1	1	27
85	40	40	40	34	33	18	11	10	9	9	7	7	40
86	35	29	29	27	27	24	23	10	8	8	7	5	35
87	38	35	34	29	25	12	11	8	7	7	7	6	38
88	37	35	27	23	20	18	14	14	11	10	9	7	40
89	36	36	36	36	35	31	25	6	5	5	2	2	36
90	36	36	36	35	33	12	10	6	6	4	3	2	36
91	38	37	37	37	36	35	33	8	6	4	3	2	38
92	40	39	39	38	35	18	15	2	2	2	2	1	40
93	35	35	35	34	34	32	29	9	3	2	2	2	35
94	36	36	36	35	30	27	7	5	5	4	3	3	36
95	35	35	35	35	32	29	13	8	6	3	3	2	35
96	37	37	37	35	34	31	30	5	4	1	1	1	37
97	39	36	35	34	26	17	4	4	4	3	3	2	40
98	39	39	39	38	37	34	33	17	8	6	2	2	39
99	27	27	26	25	25	9	7	2	1	1	1	1	27
100	32	29	28	28	28	25	24	4	4	4	3	3	32
101	30	30	30	29	27	19	12	2	2	1	1	1	30
102	30	30	30	29	28	20	16	7	1	1	1	1	30
103	31	31	31	29	27	25	4	3	3	2	2	1	31
104	31	31	31	31	29	27	27	4	4	1	NA	NA	31
105	38	36	35	33	30	30	11	6	4	2	2	2	38
106	36	35	33	30	30	28	10	5	5	4	3	2	40
107	28	28	28	28	28	28	6	2	1	1	1	1	28
108	36	36	36	34	34	31	9	5	5	4	2	2	36
109	40	38	38	37	33	29	13	11	4	4	4	4	40
110	40	40	40	39	38	36	35	13	8	5	5	3	40
111	39	36	35	33	32	31	7	7	5	5	5	4	40
112	40	40	40	38	35	33	4	4	3	2	2	2	40
113	40	40	40	40	40	36	35	9	7	6	6	5	40
114	34	34	34	34	34	14	2	1	1	NA	NA	NA	34
115	40	40	39	38	38	33	14	10	8	5	4	3	40
116	37	37	37	37	34	24	14	11	4	2	2	1	37
117	40	40	40	40	40	40	11	4	4	4	3	2	40
118	40	40	40	40	39	23	13	11	8	8	7	6	40
119	36	36	35	32	32	31	13	10	7	6	5	4	39
120	40	40	40	37	34	30	12	11	8	4	2	2	40
121	40	40	40	35	35	32	29	15	10	9	8	7	40
122	37	35	32	30	27	25	11	7	6	5	4	3	40
123	40	40	40	38	35	35	16	10	7	7	7	7	40
124	30	30	30	30	30	17	2	1	1	1	1	NA	30
125	36	36	35	33	31	22	10	9	6	5	5	4	40
