frame	time	cells.analyzed	swap.events
2	50	156	0
3	100	155	0
4	150	155	0
5	200	155	0
6	250	155	0
7	300	155	0
8	350	155	0
9	400	155	0
10	450	155	0
11	500	155	0
12	550	155	0
13	600	155	0
14	650	155	0
15	700	155	0
16	750	155	0
17	800	155	0
18	850	155	0
19	900	155	0
20	950	155	1
21	1000	154	0
22	1050	154	1
23	1100	155	1
24	1150	153	1
25	1200	150	2
26	1250	150	3
27	1300	147	2
28	1350	142	3
29	1400	139	3
30	1450	133	5
31	1500	126	2
32	1550	120	2
33	1600	110	3
34	1650	101	4
35	1700	87	4
36	1750	77	3
37	1800	61	1
38	1850	54	7
39	1900	48	2
40	1950	37	1
