frame	time	cells.analyzed	swap.events
2	50	154	0
3	100	152	0
4	150	152	0
5	200	153	0
6	250	152	0
7	300	152	1
8	350	153	0
9	400	153	0
10	450	153	0
11	500	153	0
12	550	153	0
13	600	154	0
14	650	154	0
15	700	154	0
16	750	154	0
17	800	155	0
18	850	153	2
19	900	153	2
20	950	154	2
21	1000	154	4
22	1050	153	4
23	1100	151	4
24	1150	151	5
25	1200	149	6
26	1250	149	4
27	1300	144	6
28	1350	140	13
29	1400	135	13
30	1450	126	12
31	1500	124	21
32	1550	110	11
33	1600	99	15
34	1650	93	10
35	1700	84	10
36	1750	65	5
37	1800	45	12
38	1850	37	14
39	1900	30	5
40	1950	20	3
