frame	time	nucs	cells	missed_nuc	detected	split	merged	junk	mergesplit
0	0	256	251	3	249	0	2	0	0
1	50	260	255	4	252	0	2	0	0
2	100	259	257	1	251	0	2	0	2
3	150	261	264	1	260	0	0	0	0
4	200	258	266	0	254	0	2	0	0
5	250	262	267	0	256	0	3	0	0
6	300	265	274	0	263	0	1	0	0
7	350	268	281	0	264	0	2	0	0
8	400	274	293	0	274	0	0	1	0
9	450	275	299	0	271	0	2	1	0
10	500	276	306	0	276	0	0	2	0
11	550	278	311	0	276	0	1	2	0
12	600	281	320	0	275	0	3	5	0
13	650	286	326	1	278	0	2	7	2
14	700	290	340	0	290	0	0	8	0
15	750	292	338	0	288	0	2	8	0
16	800	292	358	0	292	0	0	21	0
17	850	296	375	0	294	2	0	33	1
18	900	299	384	0	297	0	1	37	0
19	950	303	392	1	300	0	1	47	0
20	1000	304	405	0	303	2	0	57	0
21	1050	302	361	0	300	0	1	18	0
22	1100	309	360	1	301	2	3	24	0
23	1150	306	416	0	302	4	1	66	0
24	1200	299	428	3	292	2	0	69	2
25	1250	299	426	0	297	4	0	75	0
26	1300	297	433	0	294	2	1	83	0
27	1350	299	420	0	296	2	1	74	0
28	1400	301	408	0	290	2	3	71	3
29	1450	300	407	0	293	2	3	68	0
30	1500	300	464	2	291	12	0	96	1
31	1550	297	455	0	287	13	1	101	1
32	1600	293	419	0	286	3	2	82	1
33	1650	296	418	0	279	8	5	65	2
34	1700	322	443	0	285	20	10	68	5
35	1750	325	340	0	250	13	21	15	16
36	1800	334	355	1	253	20	29	22	9
37	1850	336	441	0	300	26	8	56	6
38	1900	320	404	6	266	20	11	47	12
39	1950	326	379	0	239	26	26	31	15
