frame	time	nucs	cells	missed_nuc	detected	split	merged	junk	mergesplit
0	0	256	1530	0	236	40	0	584	0
1	50	260	1556	0	238	44	0	579	0
2	100	259	1573	0	225	63	0	545	2
3	150	261	1523	0	240	42	0	536	0
4	200	258	1525	0	242	32	0	577	0
5	250	262	1529	0	234	56	0	562	0
6	300	265	1510	0	242	46	0	546	0
7	350	268	1508	0	240	56	0	506	0
8	400	274	1496	0	252	44	0	522	0
9	450	275	1553	0	252	46	0	544	0
10	500	276	1492	0	255	42	0	520	0
11	550	278	1517	0	250	56	0	515	0
12	600	281	1544	0	255	49	1	552	0
13	650	286	1528	0	263	46	0	512	0
14	700	290	1546	0	270	40	0	536	0
15	750	292	1526	0	273	30	2	517	0
16	800	292	1546	0	270	46	0	504	0
17	850	296	1553	0	281	30	0	523	0
18	900	299	1544	0	281	36	0	491	0
19	950	303	1584	0	287	32	0	513	0
20	1000	304	1565	0	291	26	0	543	0
21	1050	302	1604	0	289	26	0	536	0
22	1100	309	1586	0	284	51	0	539	0
23	1150	306	1566	0	279	55	0	522	0
24	1200	299	1596	0	275	46	0	539	1
25	1250	299	1570	0	279	40	0	531	0
26	1300	297	1559	0	278	39	0	494	0
27	1350	299	1559	0	273	52	0	492	0
28	1400	301	1561	0	265	68	0	530	2
29	1450	300	1527	0	277	49	0	502	0
30	1500	300	1476	0	266	70	0	484	0
31	1550	297	1506	0	254	86	0	477	1
32	1600	293	1450	0	241	91	1	452	4
33	1650	296	1469	0	240	108	0	463	3
34	1700	322	1484	0	246	136	1	460	7
35	1750	325	1447	0	228	180	1	436	12
36	1800	334	1441	0	225	192	0	403	19
37	1850	336	1490	0	225	200	0	408	18
38	1900	320	1404	0	211	184	3	366	17
39	1950	326	1441	0	212	197	3	400	15
