frame	time	nucs	cells	missed_nuc	detected	split	merged	junk	mergesplit
0	0	256	3	254	2	0	0	0	0
1	50	260	13	251	9	0	0	0	0
2	100	259	30	233	23	0	0	0	2
3	150	261	51	216	45	0	0	0	0
4	200	258	78	196	62	0	0	0	0
5	250	262	117	160	102	0	0	0	0
6	300	265	147	140	125	0	0	0	0
7	350	268	197	106	162	0	0	0	0
8	400	274	203	104	170	0	0	0	0
9	450	275	225	95	180	0	0	0	0
10	500	276	226	91	185	0	0	1	0
11	550	278	274	61	213	0	2	3	0
12	600	281	313	39	236	0	3	6	0
13	650	286	310	30	239	0	7	5	0
14	700	290	339	18	253	0	8	9	0
15	750	292	344	14	240	0	15	17	0
16	800	292	351	11	240	0	17	18	0
17	850	296	342	3	230	0	22	17	0
18	900	299	362	5	230	0	21	33	0
19	950	303	350	4	224	0	17	27	0
20	1000	304	342	2	217	1	17	31	1
21	1050	302	348	9	220	0	12	35	0
22	1100	309	362	9	226	0	13	42	0
23	1150	306	351	10	218	1	8	39	1
24	1200	299	343	7	219	2	5	31	2
25	1250	299	345	11	215	3	6	43	1
26	1300	297	350	21	212	2	15	44	0
27	1350	299	348	19	221	2	10	41	0
28	1400	301	353	17	224	1	12	38	6
29	1450	300	323	13	211	2	21	22	0
30	1500	302	288	10	189	1	26	20	3
31	1550	297	274	8	180	4	26	21	2
32	1600	294	254	9	172	2	19	17	4
33	1650	297	243	25	170	0	18	15	2
34	1700	326	232	52	152	8	20	11	5
35	1750	331	211	59	143	1	24	10	3
36	1800	341	208	58	140	2	23	12	4
37	1850	340	196	53	135	6	20	5	5
38	1900	318	182	83	105	5	28	11	2
39	1950	327	188	81	107	2	34	12	2
