id	traj.length
0	40
1	40
2	28
3	32
4	31
5	36
6	31
7	32
8	40
9	31
10	26
11	27
12	29
13	34
14	21
15	34
16	36
17	35
18	25
19	28
20	28
21	35
22	21
23	31
24	38
25	38
26	30
27	29
28	34
29	29
30	35
31	28
32	29
33	36
34	35
35	40
36	34
37	31
38	40
39	30
40	34
41	33
42	40
43	38
44	31
45	40
46	24
47	31
48	23
49	24
50	38
51	40
52	23
53	26
54	33
55	32
56	40
57	34
58	29
59	31
60	26
61	23
62	40
63	35
64	35
65	31
66	34
67	36
68	40
69	30
70	30
71	31
72	36
73	40
74	35
75	36
76	30
77	31
78	35
79	16
80	24
81	40
82	25
83	30
84	39
85	39
86	28
87	40
88	32
89	26
90	31
91	36
92	32
93	40
94	29
95	31
96	21
97	36
98	33
99	17
100	30
101	22
102	17
103	40
104	19
105	28
106	35
107	26
108	33
109	29
110	36
111	31
112	33
113	39
114	40
115	40
116	40
117	28
118	33
119	37
120	26
121	35
122	28
123	24
124	28
125	35
126	36
127	27
128	39
129	28
130	35
131	28
132	22
133	31
134	40
135	27
136	25
137	23
138	21
139	35
140	36
141	32
142	32
143	29
144	38
145	40
146	33
147	28
148	20
149	31
150	22
151	22
152	35
153	39
154	39
155	31
156	29
157	40
158	30
159	40
160	34
161	29
162	26
163	22
164	23
165	34
166	40
167	21
168	34
169	40
170	30
171	36
172	33
173	5
174	23
175	30
176	33
177	25
178	27
179	40
180	24
181	28
182	28
183	27
184	15
185	28
186	31
187	20
188	35
189	27
190	40
191	39
192	28
193	34
194	24
195	40
196	34
197	11
198	28
199	36
200	24
201	38
202	29
203	31
204	29
205	33
206	25
207	4
208	21
209	28
210	33
211	33
212	25
213	35
214	24
215	27
216	28
217	30
218	28
219	21
220	24
221	2
222	31
223	33
224	38
225	35
226	28
227	25
228	28
229	26
230	25
231	30
232	29
233	31
234	33
235	35
236	25
238	23
239	27
240	21
241	34
242	27
243	27
244	24
245	23
246	31
247	34
248	26
249	4
250	32
251	39
252	11
253	26
254	31
256	24
257	24
258	26
259	19
260	22
261	2
262	30
263	6
264	2
265	22
266	16
267	18
268	25
269	18
271	27
272	20
273	2
274	35
275	17
276	29
277	11
278	34
279	29
280	23
281	21
